situation,n,goal_pct,auc,log_loss,brier,calibration
5v5,332764,0.056989337788943516,0.8252242222659579,0.1783851211282214,0.04861736670136452,97.2
PP,67923,0.09197179158753294,0.7615712887020065,0.267442647418676,0.07715970277786255,103.3
PK,8759,0.07843361114282453,0.8420619987795431,0.21644750460522155,0.06326466053724289,97.9
Overall*,409446,0.06325132007639592,0.8175127224278316,0.19397311753092555,0.05366559326648712,98.7
EN,2292,0.6889179755671903,0.9883463445094139,0.18682294267385743,0.04869546741247177,88.4
