situation,n,goal_pct,auc,log_loss,brier
5v5,217858,0.05487060378778837,0.8139885461956096,0.17865768413897973,0.04844129602203143
PP,25088,0.10813934948979592,0.7655506551324369,0.29798128936551227,0.08764753603377197
PK,22715,0.0950033017829628,0.7412005106351593,0.28300012038296596,0.0813994372562727
Overall*,265661,0.06333259304150779,0.8058700738871986,0.19884781007844918,0.054961825296371045
EN (info),4250,0.17576470588235293,,,
